Model Name,Time To First Token,Prompt Tok/s,Response Tok/s,Num Response Tokens,Avg Tokens per Chunk,Avg Time Between Chunks
gpt-4o-mini,0.67,115.15,58.50,755,4.89,0.02
gpt-4o-mini,0.43,179.34,75.96,815,4.78,0.01
gpt-4o-mini,0.62,124.24,68.41,870,4.81,0.01
gpt-4o-mini,0.55,140.99,45.78,737,4.76,0.02
gpt-4o-mini,0.40,190.58,53.60,754,4.77,0.02
gpt-4o-mini,0.69,112.13,70.12,690,4.92,0.01
gpt-4o-mini,0.51,150.63,61.80,703,4.86,0.02
gpt-4o-mini,0.36,216.30,42.94,684,5.01,0.02
gpt-4o-mini,0.42,183.16,44.11,738,4.75,0.02
gpt-4o-mini,0.30,255.57,65.48,715,4.77,0.02
gpt-4o-mini,0.23,327.76,49.55,729,4.94,0.02
gpt-4o-mini,0.82,93.48,64.89,749,4.80,0.02
gpt-4o-mini,0.62,124.96,53.49,715,5.09,0.02
gpt-4o-mini,0.61,125.88,49.00,621,5.07,0.02
gpt-4o-mini,0.69,111.53,35.80,805,4.82,0.03
gpt-4o-mini,0.80,96.03,90.69,790,4.79,0.01
gpt-4o-mini,0.22,346.03,30.69,794,5.03,0.03
gpt-4o-mini,0.31,245.03,65.46,749,4.98,0.02
gpt-4o-mini,0.54,142.32,64.64,790,4.69,0.02
gpt-4o-mini,0.54,143.52,66.89,756,4.96,0.01
gpt-4o-mini,0.36,211.71,39.89,746,4.89,0.03
gpt-4o-mini,0.36,212.18,55.52,778,4.90,0.02
gpt-4o-mini,0.40,192.65,71.37,779,4.51,0.01
gpt-4o-mini,0.60,128.60,65.69,745,5.03,0.02
gpt-4o-mini,0.68,112.57,74.96,762,4.95,0.01
gpt-4o-mini,0.61,125.71,53.06,808,4.78,0.02
gpt-4o-mini,0.76,101.65,87.18,697,4.91,0.01
gpt-4o-mini,0.24,323.44,67.57,759,4.95,0.01
gpt-4o-mini,0.54,143.20,35.30,762,4.80,0.03
gpt-4o-mini,0.40,191.70,52.29,705,4.86,0.02
gpt-4o-mini,0.55,141.02,52.09,760,4.93,0.02
gpt-4o-mini,0.48,158.78,55.04,668,4.77,0.02
gpt-4o-mini,0.56,138.69,72.66,792,4.62,0.01
gpt-4o-mini,0.48,160.19,67.19,673,4.87,0.01
gpt-4o-mini,0.34,227.04,71.73,764,4.86,0.01
gpt-4o-mini,0.78,98.25,54.53,749,4.79,0.02
gpt-4o-mini,0.30,255.05,61.40,680,5.16,0.02
gpt-4o-mini,0.65,118.74,60.78,794,4.93,0.02
gpt-4o-mini,0.32,237.44,59.78,647,4.87,0.02
gpt-4o-mini,0.70,110.02,61.35,762,4.99,0.02
gpt-4o-mini,0.39,198.55,49.39,704,4.72,0.02
